"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CNRIP1",-2.09404426557926,6.97453736992657,-11.3253046603167,1.2150405329989e-26,2.35787166541663e-25,49.5912787542207
"KRT1",-3.0397604869647,2.3194189917321,-11.320539936474,1.26883722141696e-26,2.46000481144939e-25,49.548387999223
"SETBP1-DT",-2.2617780245479,3.17538242096757,-11.3194580499589,1.28137861318408e-26,2.48203861033104e-25,49.5386506383734
"EDN2",-3.05367208842497,4.66366777292597,-11.312001148601,1.37123777000683e-26,2.65365958903892e-25,49.4715508879625
"CPEB3",-2.02358053315723,7.31718860293433,-11.3110718110445,1.38286707680897e-26,2.67371201816759e-25,49.4631902269065
"CASP5",-2.9037787755375,7.23836239269559,-11.3097449399915,1.39964110070395e-26,2.70366569397885e-25,49.4512539145827
"RBM47",-1.79010003762889,12.3322572048325,-11.307138958237,1.43317648380287e-26,2.76591260286713e-25,49.4278133505514
"ANKRD9",-1.71364029143022,10.3974945281641,-11.3015653741071,1.50760635298205e-26,2.9068965639674e-25,49.3776902317624
"ADAM33",-3.10844376648097,6.10969451205096,-11.300840761184,1.51756100856052e-26,2.92341843968728e-25,49.3711748806509
"ABCD2",-2.89543493096973,3.70949099865607,-11.3001179605192,1.52755587839733e-26,2.93998756376946e-25,49.3646760713854
"STIM1",-1.62073239509688,10.8202365127004,-11.2964207839965,1.57971318596826e-26,3.037599812654e-25,49.3314380603986
"LITAF",-1.73803070815158,12.3197799643803,-11.2910292203521,1.6589635274679e-26,3.18708348346155e-25,49.2829789026423
"RAB37",-2.26798640786647,6.97230519795814,-11.2883770524503,1.69938588389342e-26,3.26176941172409e-25,49.2591463653292
"FXYD6",-2.88957823130575,7.9552993071424,-11.2873150243095,1.71584577838355e-26,3.29036825902023e-25,49.2496038503092
"ZBTB7C",-3.37529467096205,8.85340432737309,-11.2841801650605,1.76536182865996e-26,3.38224726737087e-25,49.2214396840192
"BMP5",-4.03054308961104,5.23218588517098,-11.2808364942153,1.81974279544226e-26,3.4832717356678e-25,49.1914046394038
"GCNT3",-3.37188494200824,11.1174619060443,-11.2786327205428,1.8564920554839e-26,3.55039378226449e-25,49.1716117919872
"SCN3B",-2.97680626192595,3.89557411948157,-11.278143483238,1.86474995241797e-26,3.56295611379571e-25,49.1672180957835
"CD27",-2.77017906344245,6.39842672798312,-11.2763360778269,1.8955753187788e-26,3.61857608817376e-25,49.1509873026777
"AMN",-2.36410306211154,10.4433654724378,-11.273695028005,1.94153181681711e-26,3.70295408173057e-25,49.1272730300743
