,Characteristics,Hazard.Ratio,lower.95,upper.95,CI95.,P.Value
389,PTPRH,1.028,0.869,1.216,1.028[0.869:1.216],0.746
390,LAMA1,1.092,0.955,1.248,1.092[0.955:1.248],0.199
391,PLCXD3,1.092,0.983,1.213,1.092[0.983:1.213],0.102
392,LINC02033,0.967,0.8,1.168,0.967[0.8:1.168],0.725
393,BEST2,0.943,0.875,1.017,0.943[0.875:1.017],0.127
394,B4GALT1.AS1,0.951,0.77,1.174,0.951[0.77:1.174],0.641
395,ADAMTS9.AS2,1.035,0.897,1.195,1.035[0.897:1.195],0.638
396,SLC36A1,1.12,0.912,1.376,1.12[0.912:1.376],0.278
397,EPCAM.DT,1.078,0.924,1.257,1.078[0.924:1.257],0.342
398,P2RX4,1.045,0.807,1.354,1.045[0.807:1.354],0.737
399,BAALC,1.066,0.921,1.233,1.066[0.921:1.233],0.394
400,SGK1,0.993,0.842,1.172,0.993[0.842:1.172],0.934
401,GDPD3,1.064,0.91,1.243,1.064[0.91:1.243],0.438
402,DPEP3,1.067,0.895,1.271,1.067[0.895:1.271],0.471
403,INA,1.015,0.903,1.14,1.015[0.903:1.14],0.804
404,SIM2,1.07,0.934,1.227,1.07[0.934:1.227],0.328
405,MYH11,1.06,0.969,1.16,1.06[0.969:1.16],0.205
406,SLC26A3,0.95,0.895,1.009,0.95[0.895:1.009],0.097
407,BTNL8,0.959,0.869,1.058,0.959[0.869:1.058],0.401
408,ASAP3,1.087,0.911,1.298,1.087[0.911:1.298],0.354
409,CLEC10A,0.943,0.842,1.056,0.943[0.842:1.056],0.311
410,DHRS9,1.005,0.923,1.095,1.005[0.923:1.095],0.906
411,AJUBA,1.144,0.935,1.399,1.144[0.935:1.399],0.191
412,IL6R.AS1,0.998,0.823,1.211,0.998[0.823:1.211],0.987
413,CASC19,1.023,0.895,1.169,1.023[0.895:1.169],0.74
414,MILIP,1.045,0.858,1.272,1.045[0.858:1.272],0.662
415,CASQ2,1.052,0.968,1.144,1.052[0.968:1.144],0.23
416,PLAC8,0.947,0.854,1.051,0.947[0.854:1.051],0.307
417,SCUBE2,1.05,0.918,1.201,1.05[0.918:1.201],0.475
418,CNTN4,1.04,0.911,1.188,1.04[0.911:1.188],0.561
419,B4GALNT2,0.946,0.887,1.009,0.946[0.887:1.009],0.093
420,SEC14L5,1.014,0.879,1.168,1.014[0.879:1.168],0.852
421,TRANK1,1.015,0.85,1.211,1.015[0.85:1.211],0.871
422,NIBAN1,1.043,0.913,1.192,1.043[0.913:1.192],0.537
423,TMEM35A,1.03,0.926,1.146,1.03[0.926:1.146],0.583
424,PTPRZ1,1.092,0.983,1.212,1.092[0.983:1.212],0.1
425,LINC00582,1.048,0.89,1.233,1.048[0.89:1.233],0.575
426,LPAR1,0.967,0.838,1.117,0.967[0.838:1.117],0.65
427,JAM2,1.041,0.907,1.194,1.041[0.907:1.194],0.569
428,CPNE5,1.037,0.869,1.239,1.037[0.869:1.239],0.685
429,GFI1B,0.993,0.871,1.132,0.993[0.871:1.132],0.917
430,TEF,1.17,0.948,1.443,1.17[0.948:1.443],0.143
431,ABHD3,0.973,0.805,1.175,0.973[0.805:1.175],0.774
432,TMEM179,1.069,0.955,1.196,1.069[0.955:1.196],0.248
433,RELL1,0.988,0.807,1.211,0.988[0.807:1.211],0.908
434,DIRAS2,1.17,1.027,1.332,1.17[1.027:1.332],0.018
435,LIPC,1.065,0.953,1.19,1.065[0.953:1.19],0.269
436,ENDOD1,1.059,0.851,1.318,1.059[0.851:1.318],0.606
437,CD36,1.107,0.981,1.248,1.107[0.981:1.248],0.098
438,CHODL,0.984,0.869,1.115,0.984[0.869:1.115],0.804
439,CLEC4G,1.062,0.94,1.201,1.062[0.94:1.201],0.333
440,ATP6V1G2,1.159,0.971,1.383,1.159[0.971:1.383],0.102
441,MT2A,1.083,0.928,1.265,1.083[0.928:1.265],0.312
442,ASPG,0.85,0.745,0.969,0.85[0.745:0.969],0.015
443,BMX,0.962,0.841,1.1,0.962[0.841:1.1],0.571
444,GLIPR2,0.977,0.818,1.169,0.977[0.818:1.169],0.802
445,SCIN,0.997,0.877,1.134,0.997[0.877:1.134],0.965
446,FAM181B,0.994,0.856,1.154,0.994[0.856:1.154],0.935
447,TCF21,0.999,0.869,1.148,0.999[0.869:1.148],0.992
448,GAP43,1.091,0.986,1.207,1.091[0.986:1.207],0.093
449,GFRA1,1.015,0.909,1.133,1.015[0.909:1.133],0.79
450,CAVIN2,1.035,0.912,1.175,1.035[0.912:1.175],0.593
451,LONRF2,1.075,0.979,1.181,1.075[0.979:1.181],0.131
452,TRPC7,1.072,0.925,1.243,1.072[0.925:1.243],0.356
453,SLC25A23,1.126,0.911,1.39,1.126[0.911:1.39],0.273
454,TCEAL2,1.092,0.998,1.195,1.092[0.998:1.195],0.056
455,RIC3,1.066,0.943,1.204,1.066[0.943:1.204],0.306
456,TRIM40,0.934,0.818,1.065,0.934[0.818:1.065],0.307
457,FCRL4,1.012,0.879,1.165,1.012[0.879:1.165],0.869
458,SQOR,0.978,0.785,1.217,0.978[0.785:1.217],0.839
459,PP7080,0.983,0.848,1.14,0.983[0.848:1.14],0.823
460,LRP8,1.054,0.876,1.267,1.054[0.876:1.267],0.578
461,SYNM,1.068,0.965,1.182,1.068[0.965:1.182],0.202
462,B3GALT1,0.948,0.869,1.035,0.948[0.869:1.035],0.232
463,PCOLCE2,1.157,1.061,1.262,1.157[1.061:1.262],9.5165e-04
464,RUNDC3B,1.015,0.891,1.155,1.015[0.891:1.155],0.825
465,DCLK1,1.058,0.946,1.185,1.058[0.946:1.185],0.322
466,IGHV3OR16.9,0.913,0.811,1.027,0.913[0.811:1.027],0.129
467,PDE7B,1.015,0.877,1.174,1.015[0.877:1.174],0.841
468,IGKV2.30,0.97,0.889,1.057,0.97[0.889:1.057],0.486
469,ACVRL1,0.964,0.8,1.161,0.964[0.8:1.161],0.699
470,PTH1R,1.283,1.117,1.474,1.283[1.117:1.474],4.279263e-04
471,DPF3,1.111,0.972,1.27,1.111[0.972:1.27],0.124
472,PINK1,1.062,0.856,1.318,1.062[0.856:1.318],0.583
473,CEACAM1,0.937,0.8,1.097,0.937[0.8:1.097],0.417
474,ATP2B2,1.11,0.941,1.31,1.11[0.941:1.31],0.214
475,B3GNT7,0.954,0.863,1.054,0.954[0.863:1.054],0.357
476,PLEKHN1,1.116,0.944,1.32,1.116[0.944:1.32],0.2
477,KCNK3,1.037,0.932,1.154,1.037[0.932:1.154],0.502
478,PKD1L2,1.115,0.964,1.29,1.115[0.964:1.29],0.142
479,HTR4,0.965,0.882,1.056,0.965[0.882:1.056],0.436
480,FMN2,1.032,0.933,1.141,1.032[0.933:1.141],0.539
481,VIT,0.986,0.869,1.119,0.986[0.869:1.119],0.828
482,JCHAIN,0.957,0.893,1.026,0.957[0.893:1.026],0.216
483,NR1H4,1.006,0.925,1.094,1.006[0.925:1.094],0.887
484,C15orf48,1.009,0.881,1.155,1.009[0.881:1.155],0.897
485,RNF112,1.188,1.025,1.379,1.188[1.025:1.379],0.023
486,FCER2,0.996,0.896,1.107,0.996[0.896:1.107],0.943
487,CLDN5,1.125,0.97,1.305,1.125[0.97:1.305],0.118
488,MYLK,1.045,0.918,1.19,1.045[0.918:1.19],0.502
489,PBLD,0.983,0.849,1.138,0.983[0.849:1.138],0.816
490,CASP7,1.008,0.82,1.239,1.008[0.82:1.239],0.94
491,LINC01082,0.913,0.81,1.03,0.913[0.81:1.03],0.138
492,CELF4,1.208,1.061,1.375,1.208[1.061:1.375],0.004
493,METTL24,1.008,0.886,1.147,1.008[0.886:1.147],0.906
494,B3GALT4,1.248,0.992,1.57,1.248[0.992:1.57],0.059
495,LMOD1,1.082,0.971,1.207,1.082[0.971:1.207],0.154
496,EYA2,1.035,0.93,1.15,1.035[0.93:1.15],0.53
497,FOLR2,1.081,0.949,1.231,1.081[0.949:1.231],0.243
498,IGKV1OR22.1,0.948,0.836,1.075,0.948[0.836:1.075],0.402
499,PDZRN4,1.057,0.959,1.165,1.057[0.959:1.165],0.262
500,SVOP,1.063,0.935,1.209,1.063[0.935:1.209],0.35
501,SLCO2A1,0.981,0.845,1.138,0.981[0.845:1.138],0.797
502,GSN,1.116,0.93,1.34,1.116[0.93:1.34],0.236
503,GRIA3,1.132,0.995,1.289,1.132[0.995:1.289],0.06
504,SRI,0.903,0.726,1.123,0.903[0.726:1.123],0.358
505,HAPLN1,0.928,0.818,1.054,0.928[0.818:1.054],0.249
506,GGTA1,1.022,0.894,1.169,1.022[0.894:1.169],0.748
507,FAM151A,0.944,0.787,1.131,0.944[0.787:1.131],0.531
508,IGKV1D.39,0.963,0.86,1.079,0.963[0.86:1.079],0.514
509,GCSAML,0.882,0.772,1.008,0.882[0.772:1.008],0.064
510,TNFRSF17,0.934,0.852,1.023,0.934[0.852:1.023],0.141
511,DNAI4,0.877,0.763,1.008,0.877[0.763:1.008],0.065
512,ABCA9,1.046,0.93,1.176,1.046[0.93:1.176],0.455
513,PRKCB,0.97,0.851,1.106,0.97[0.851:1.106],0.652
514,LINC00659,0.978,0.875,1.095,0.978[0.875:1.095],0.702
515,SCN4B,1.032,0.891,1.196,1.032[0.891:1.196],0.673
516,KIAA0513,1.019,0.863,1.202,1.019[0.863:1.202],0.828
517,GNG3,1.136,0.95,1.357,1.136[0.95:1.357],0.162
518,SCNN1G,1.031,0.94,1.131,1.031[0.94:1.131],0.511
519,DISP2,1.068,0.924,1.235,1.068[0.924:1.235],0.371
520,MIR22HG,1.015,0.838,1.23,1.015[0.838:1.23],0.875
521,IRAG2,1.018,0.893,1.16,1.018[0.893:1.16],0.793
522,CLIC5,0.962,0.821,1.127,0.962[0.821:1.127],0.628
523,VWC2,0.862,0.749,0.992,0.862[0.749:0.992],0.039
524,PXMP2,0.949,0.767,1.175,0.949[0.767:1.175],0.631
525,RCAN2,1.131,0.959,1.334,1.131[0.959:1.334],0.144
526,PGM1,1.008,0.815,1.247,1.008[0.815:1.247],0.94
527,CAND2,1.13,0.95,1.345,1.13[0.95:1.345],0.167
528,MIR3150BHG,0.978,0.853,1.123,0.978[0.853:1.123],0.756
529,GALNT16,1.033,0.921,1.158,1.033[0.921:1.158],0.58
530,SLC23A1,0.946,0.829,1.08,0.946[0.829:1.08],0.411
531,FOXF2.DT,0.919,0.767,1.102,0.919[0.767:1.102],0.362
532,PPP1R14A,1.115,0.946,1.315,1.115[0.946:1.315],0.195
533,ZBTB7B,1.154,0.915,1.456,1.154[0.915:1.456],0.227
534,ATP1B2,1.158,1.004,1.337,1.158[1.004:1.337],0.044
535,IGFBP6,1.113,0.955,1.296,1.113[0.955:1.296],0.17
536,ALKAL2,0.896,0.78,1.029,0.896[0.78:1.029],0.121
537,C1QTNF7,1.059,0.949,1.183,1.059[0.949:1.183],0.306
538,FAM187B2P,1.09,0.861,1.381,1.09[0.861:1.381],0.473
539,CDKL1,1.03,0.859,1.236,1.03[0.859:1.236],0.748
540,UGDH,1.025,0.852,1.233,1.025[0.852:1.233],0.792
541,MT1DP,1.031,0.878,1.21,1.031[0.878:1.21],0.709
542,LINC01537,1.098,0.93,1.296,1.098[0.93:1.296],0.269
543,VIP,1.013,0.931,1.102,1.013[0.931:1.102],0.767
544,LYPD8,0.951,0.881,1.027,0.951[0.881:1.027],0.204
545,KLHL35,1.166,1.002,1.356,1.166[1.002:1.356],0.047
546,TARID,1.021,0.875,1.193,1.021[0.875:1.193],0.788
547,ACAA2,0.907,0.751,1.096,0.907[0.751:1.096],0.313
548,ZZEF1,1.031,0.845,1.258,1.031[0.845:1.258],0.762
549,LINC02568,1.04,0.939,1.152,1.04[0.939:1.152],0.45
550,MMRN1,1.022,0.933,1.12,1.022[0.933:1.12],0.639
551,SPATA12,0.956,0.802,1.139,0.956[0.802:1.139],0.613
552,BTNL3,0.972,0.875,1.079,0.972[0.875:1.079],0.592
553,MT1X,1.022,0.882,1.185,1.022[0.882:1.185],0.771
554,CCDC152,0.957,0.842,1.089,0.957[0.842:1.089],0.504
555,CHP2,0.993,0.926,1.065,0.993[0.926:1.065],0.843
556,C1orf210,1.008,0.82,1.241,1.008[0.82:1.241],0.936
557,CES2,1.049,0.903,1.219,1.049[0.903:1.219],0.53
558,FOXF2,0.967,0.838,1.115,0.967[0.838:1.115],0.643
559,TDP2,1.038,0.855,1.259,1.038[0.855:1.259],0.708
560,PSD,1.107,0.956,1.282,1.107[0.956:1.282],0.174
561,CNNM4,1.106,0.884,1.382,1.106[0.884:1.382],0.378
562,SFTA1P,1.082,0.936,1.252,1.082[0.936:1.252],0.287
563,CD209,1,0.883,1.133,1[0.883:1.133],0.999
564,CHP1,1.127,0.882,1.439,1.127[0.882:1.439],0.339
565,SYNPO2,1.052,0.948,1.168,1.052[0.948:1.168],0.339
566,HOXD1,1.044,0.928,1.176,1.044[0.928:1.176],0.471
567,IGKV3OR2.268,1.009,0.908,1.12,1.009[0.908:1.12],0.871
568,CCL14,0.983,0.849,1.139,0.983[0.849:1.139],0.819
569,PTCHD1,1.04,0.938,1.153,1.04[0.938:1.153],0.46
570,PAPSS2,0.99,0.855,1.146,0.99[0.855:1.146],0.893
571,EIF4E3,0.955,0.807,1.131,0.955[0.807:1.131],0.596
572,SUGCT,1.045,0.893,1.221,1.045[0.893:1.221],0.585
573,SPPL2A,1.042,0.845,1.286,1.042[0.845:1.286],0.699
574,ACOX1,0.898,0.726,1.111,0.898[0.726:1.111],0.321
575,SALL4,1.101,0.978,1.24,1.101[0.978:1.24],0.111
576,SNAP25,1.09,0.975,1.218,1.09[0.975:1.218],0.13
577,PPP2R3A,1.05,0.899,1.227,1.05[0.899:1.227],0.537
578,TUBAL3,0.938,0.834,1.055,0.938[0.834:1.055],0.287
579,FLVCR2,1.054,0.9,1.234,1.054[0.9:1.234],0.518
580,SIGLEC11,1.091,0.943,1.263,1.091[0.943:1.263],0.242
581,LINC00460,1.026,0.93,1.132,1.026[0.93:1.132],0.61
582,HSPB8,1.085,0.962,1.224,1.085[0.962:1.224],0.181
583,EFHC2,0.966,0.854,1.094,0.966[0.854:1.094],0.589
584,C2CD4A,0.925,0.831,1.03,0.925[0.831:1.03],0.154
585,SEMA6A,0.964,0.856,1.084,0.964[0.856:1.084],0.539
586,SEZ6L,1.019,0.902,1.151,1.019[0.902:1.151],0.764
587,ITM2A,0.965,0.834,1.115,0.965[0.834:1.115],0.628
588,NEU4,0.927,0.826,1.039,0.927[0.826:1.039],0.192
589,AGTR1,1.022,0.927,1.127,1.022[0.927:1.127],0.658
590,CCNP,1.031,0.916,1.16,1.031[0.916:1.16],0.618
591,FAM163B,1.079,0.947,1.23,1.079[0.947:1.23],0.254
592,DNER,1.038,0.925,1.164,1.038[0.925:1.164],0.526
593,UNC80,1.147,0.981,1.342,1.147[0.981:1.342],0.086
594,CNTN1,1.056,0.958,1.165,1.056[0.958:1.165],0.274
595,SLIT3,1.086,0.958,1.23,1.086[0.958:1.23],0.198
596,PAMR1,1.063,0.876,1.289,1.063[0.876:1.289],0.535
597,CD1D,1.089,0.915,1.297,1.089[0.915:1.297],0.335
598,HBB,1.023,0.915,1.145,1.023[0.915:1.145],0.687
599,RHPN1,1.193,1.004,1.417,1.193[1.004:1.417],0.045
600,KCNMA1,1.045,0.935,1.168,1.045[0.935:1.168],0.441
601,ARHGAP44,0.936,0.813,1.076,0.936[0.813:1.076],0.353
602,CFP,0.983,0.83,1.164,0.983[0.83:1.164],0.841
603,STAB2,1.065,0.916,1.238,1.065[0.916:1.238],0.416
604,ENTREP1,0.969,0.845,1.111,0.969[0.845:1.111],0.651
605,CST2,1.101,0.987,1.227,1.101[0.987:1.227],0.084
606,CORO2B,1.111,0.964,1.281,1.111[0.964:1.281],0.146
607,COL10A1,1.055,0.977,1.139,1.055[0.977:1.139],0.171
608,VXN,1.003,0.845,1.191,1.003[0.845:1.191],0.973
609,MCIDAS,1.106,0.956,1.28,1.106[0.956:1.28],0.174
610,MAPK10,1.042,0.896,1.213,1.042[0.896:1.213],0.592
611,XDH,0.925,0.814,1.051,0.925[0.814:1.051],0.23
612,BEND5,1.017,0.878,1.178,1.017[0.878:1.178],0.82
613,CHGB,1.036,0.945,1.135,1.036[0.945:1.135],0.453
614,HHLA2,0.96,0.867,1.064,0.96[0.867:1.064],0.437
615,TST,0.975,0.802,1.186,0.975[0.802:1.186],0.801
616,SCUBE1,0.959,0.838,1.097,0.959[0.838:1.097],0.54
617,ABCA6,1.055,0.935,1.19,1.055[0.935:1.19],0.383
618,MSX2,0.996,0.893,1.111,0.996[0.893:1.111],0.945
619,GRIN3A,0.93,0.776,1.116,0.93[0.776:1.116],0.438
620,LHFPL4,1.033,0.941,1.135,1.033[0.941:1.135],0.496
621,TRPV3,1.094,0.971,1.232,1.094[0.971:1.232],0.139
622,GNG13,1.059,0.932,1.202,1.059[0.932:1.202],0.379
623,ZBTB16,1.046,0.951,1.15,1.046[0.951:1.15],0.356
624,GRIK5,1.164,1.022,1.325,1.164[1.022:1.325],0.022
625,GRIA4,0.952,0.835,1.084,0.952[0.835:1.084],0.455
626,PGM5,1.128,1.017,1.252,1.128[1.017:1.252],0.023
627,MYPN,0.896,0.787,1.02,0.896[0.787:1.02],0.098
628,MOCS1,1.172,0.995,1.38,1.172[0.995:1.38],0.058
629,PHF24,1.099,0.948,1.273,1.099[0.948:1.273],0.21
630,CLDN2,0.996,0.923,1.075,0.996[0.923:1.075],0.919
631,FNDC9,1.062,0.886,1.271,1.062[0.886:1.271],0.517
632,FSIP2,1.026,0.923,1.141,1.026[0.923:1.141],0.628
633,SSTR3,1.021,0.882,1.181,1.021[0.882:1.181],0.781
634,IGSF10,1.022,0.914,1.142,1.022[0.914:1.142],0.703
635,VAT1L,0.963,0.834,1.112,0.963[0.834:1.112],0.608
636,TLR3,0.986,0.846,1.148,0.986[0.846:1.148],0.855
637,TMIGD3,1.174,1.01,1.365,1.174[1.01:1.365],0.037
638,ITGA8,0.954,0.819,1.11,0.954[0.819:1.11],0.541
639,SYP,1.102,0.94,1.292,1.102[0.94:1.292],0.232
640,RMDN2,0.978,0.833,1.147,0.978[0.833:1.147],0.782
641,SLIT3.AS2,0.996,0.87,1.14,0.996[0.87:1.14],0.95
642,GPM6B,1.041,0.9,1.203,1.041[0.9:1.203],0.59
643,KCNN3,1.01,0.862,1.184,1.01[0.862:1.184],0.899
644,CPNE8,0.992,0.862,1.141,0.992[0.862:1.141],0.908
645,KCNG3,1.087,0.956,1.236,1.087[0.956:1.236],0.202
646,TMOD1,1.052,0.929,1.19,1.052[0.929:1.19],0.425
647,TM6SF2,1.025,0.903,1.163,1.025[0.903:1.163],0.707
648,PEG3,0.994,0.874,1.131,0.994[0.874:1.131],0.925
649,GRIK1,0.967,0.824,1.135,0.967[0.824:1.135],0.679
650,SYNPO,1.134,0.944,1.361,1.134[0.944:1.361],0.178
651,LGI4,1.12,0.976,1.285,1.12[0.976:1.285],0.108
652,TRIM29,1.02,0.904,1.152,1.02[0.904:1.152],0.744
653,CCNO,1.18,0.982,1.419,1.18[0.982:1.419],0.077
654,DIRAS1,1.117,0.981,1.271,1.117[0.981:1.271],0.096
655,RASD2,1.047,0.912,1.202,1.047[0.912:1.202],0.517
656,CNTNAP3,1.05,0.922,1.197,1.05[0.922:1.197],0.463
657,PDCD4.AS1,1.118,0.884,1.413,1.118[0.884:1.413],0.352
658,CCDC68,0.922,0.797,1.067,0.922[0.797:1.067],0.278
659,SFTA2,1.077,0.985,1.178,1.077[0.985:1.178],0.104
660,MTHFD1L,1.089,0.861,1.377,1.089[0.861:1.377],0.475
661,SIAE,0.958,0.785,1.17,0.958[0.785:1.17],0.676
662,SEZ6,1.147,1.003,1.312,1.147[1.003:1.312],0.045
663,SLC7A5,1.169,0.98,1.394,1.169[0.98:1.394],0.082
664,IGHA2,0.981,0.92,1.047,0.981[0.92:1.047],0.566
665,MIER3,1.029,0.865,1.223,1.029[0.865:1.223],0.749
666,TESK2,1.034,0.818,1.306,1.034[0.818:1.306],0.781
667,FUT1,1.234,1.021,1.491,1.234[1.021:1.491],0.03
668,LINC02057,1.007,0.887,1.143,1.007[0.887:1.143],0.918
669,RGS9,1.063,0.92,1.229,1.063[0.92:1.229],0.405
670,IQCN,1.029,0.884,1.197,1.029[0.884:1.197],0.713
671,KLRF1,0.986,0.851,1.143,0.986[0.851:1.143],0.85
672,WDR17,1.071,0.962,1.192,1.071[0.962:1.192],0.213
673,DIRC3,1.038,0.89,1.21,1.038[0.89:1.21],0.638
674,ENTPD8,0.993,0.886,1.113,0.993[0.886:1.113],0.899
675,SLC8A3,0.911,0.778,1.066,0.911[0.778:1.066],0.246
676,CDC14A,0.971,0.818,1.153,0.971[0.818:1.153],0.737
677,LRRC19,0.93,0.847,1.021,0.93[0.847:1.021],0.127
678,LMO3,1.054,0.953,1.165,1.054[0.953:1.165],0.305
679,SULT1B1,0.898,0.813,0.993,0.898[0.813:0.993],0.035
680,PTGER4,0.992,0.829,1.188,0.992[0.829:1.188],0.932
681,AKR1B10,0.969,0.895,1.049,0.969[0.895:1.049],0.434
682,CHL1,0.994,0.898,1.101,0.994[0.898:1.101],0.908
683,LINC01475,1.052,0.899,1.229,1.052[0.899:1.229],0.529
684,MBNL1.AS1,1.038,0.895,1.204,1.038[0.895:1.204],0.623
685,HSPB6,1.061,0.967,1.164,1.061[0.967:1.164],0.213
686,C1QTNF2,0.985,0.825,1.176,0.985[0.825:1.176],0.866
687,MAOA,0.992,0.866,1.136,0.992[0.866:1.136],0.903
688,ADAMTS9.AS1,1.037,0.926,1.162,1.037[0.926:1.162],0.529
689,CRNDE,1.086,0.962,1.227,1.086[0.962:1.227],0.182
690,SGCA,1.087,0.971,1.217,1.087[0.971:1.217],0.148
691,ADRB2,1.061,0.918,1.226,1.061[0.918:1.226],0.422
692,TTLL6,1.003,0.886,1.134,1.003[0.886:1.134],0.968
693,SLC2A13,0.983,0.826,1.171,0.983[0.826:1.171],0.851
694,HTR3A,0.987,0.877,1.112,0.987[0.877:1.112],0.831
695,PLPP3,1.064,0.872,1.299,1.064[0.872:1.299],0.539
696,LUZP2,1.014,0.903,1.14,1.014[0.903:1.14],0.81
697,SNCG,1.19,1.026,1.38,1.19[1.026:1.38],0.021
698,PAQR5,0.982,0.846,1.141,0.982[0.846:1.141],0.816
699,MPC1,0.857,0.676,1.087,0.857[0.676:1.087],0.202
700,MIR497HG,1.126,0.96,1.32,1.126[0.96:1.32],0.145
701,STRA6,1.033,0.933,1.145,1.033[0.933:1.145],0.531
702,ADGRL3,0.977,0.877,1.089,0.977[0.877:1.089],0.674
703,GDF15,0.893,0.76,1.049,0.893[0.76:1.049],0.168
704,LINC00940,0.982,0.874,1.103,0.982[0.874:1.103],0.758
705,BCAR3,1.018,0.82,1.263,1.018[0.82:1.263],0.874
706,SMIM14,1.004,0.847,1.191,1.004[0.847:1.191],0.961
707,ADAMTSL3,1.061,0.953,1.181,1.061[0.953:1.181],0.282
708,GPD1L,0.993,0.806,1.223,0.993[0.806:1.223],0.947
709,RHEX,0.989,0.876,1.115,0.989[0.876:1.115],0.851
710,GYPC,1.089,0.914,1.297,1.089[0.914:1.297],0.342
711,UGT2A3,0.928,0.866,0.995,0.928[0.866:0.995],0.036
712,IGKV1.39,0.977,0.888,1.076,0.977[0.888:1.076],0.637
713,SIGLEC6,0.977,0.862,1.106,0.977[0.862:1.106],0.708
714,NOTUM,1.029,0.966,1.097,1.029[0.966:1.097],0.376
715,MXI1,1.089,0.888,1.335,1.089[0.888:1.335],0.413
716,BMP2,1.039,0.888,1.216,1.039[0.888:1.216],0.634
717,CCL28,0.888,0.781,1.01,0.888[0.781:1.01],0.071
718,C8orf88,1.061,0.927,1.214,1.061[0.927:1.214],0.392
719,CP,1.019,0.923,1.124,1.019[0.923:1.124],0.715
720,CFAP92,1.024,0.869,1.206,1.024[0.869:1.206],0.779
721,SLC2A9.AS1,0.969,0.799,1.176,0.969[0.799:1.176],0.751
722,TACR2,1.052,0.94,1.176,1.052[0.94:1.176],0.379
723,HRCT1,0.942,0.829,1.072,0.942[0.829:1.072],0.366
724,LINC02418,0.97,0.917,1.027,0.97[0.917:1.027],0.302
725,IGKV1OR2.6,0.908,0.811,1.017,0.908[0.811:1.017],0.095
726,NDRG2,1.022,0.834,1.253,1.022[0.834:1.253],0.832
727,GRAMD2B,0.995,0.828,1.197,0.995[0.828:1.197],0.958
728,HTR1D,0.996,0.892,1.112,0.996[0.892:1.112],0.945
729,C4orf19,0.907,0.766,1.073,0.907[0.766:1.073],0.255
730,OPN3,1.013,0.837,1.227,1.013[0.837:1.227],0.893
731,NIHCOLE,1.061,0.95,1.185,1.061[0.95:1.185],0.296
732,ACACB,1.188,1,1.411,1.188[1:1.411],0.05
733,IGHV6.1,0.932,0.847,1.026,0.932[0.847:1.026],0.153
734,CPT1A,1.033,0.816,1.308,1.033[0.816:1.308],0.787
735,HAND2,1.076,0.982,1.179,1.076[0.982:1.179],0.118
736,CEND1,1.13,0.958,1.331,1.13[0.958:1.331],0.146
737,CYP2B7P,1.019,0.901,1.153,1.019[0.901:1.153],0.759
738,DSCAML1,0.995,0.887,1.116,0.995[0.887:1.116],0.931
739,DAAM2,1.051,0.9,1.227,1.051[0.9:1.227],0.529
740,IGKV1.12,1.005,0.916,1.103,1.005[0.916:1.103],0.912
741,DTNB.AS1,0.96,0.834,1.105,0.96[0.834:1.105],0.57
742,F13A1,1.065,0.961,1.179,1.065[0.961:1.179],0.229
743,RELN,0.978,0.885,1.081,0.978[0.885:1.081],0.666
744,NTRK3,1.058,0.95,1.179,1.058[0.95:1.179],0.304
745,ATP6V0D1,1.045,0.781,1.398,1.045[0.781:1.398],0.767
746,CNN1,1.087,0.982,1.202,1.087[0.982:1.202],0.106
747,RBKS,0.999,0.793,1.258,0.999[0.793:1.258],0.99
748,BMP6,1.021,0.891,1.171,1.021[0.891:1.171],0.763
749,KCNMB1,1.067,0.946,1.203,1.067[0.946:1.203],0.29
750,AOC1,0.929,0.796,1.084,0.929[0.796:1.084],0.347
751,CSRP1,1.07,0.857,1.337,1.07[0.857:1.337],0.548
752,LINC02038,1.026,0.87,1.21,1.026[0.87:1.21],0.759
753,GPER1,1.09,0.947,1.254,1.09[0.947:1.254],0.23
754,GRIA1,1.023,0.881,1.187,1.023[0.881:1.187],0.764
755,SLC30A4,1.066,0.883,1.286,1.066[0.883:1.286],0.508
756,JDP2.AS1,1.05,0.874,1.26,1.05[0.874:1.26],0.603
757,ATP13A4,0.931,0.83,1.046,0.931[0.83:1.046],0.228
758,DHDDS,1.005,0.788,1.282,1.005[0.788:1.282],0.969
759,CYP1B1.AS1,1.13,0.958,1.334,1.13[0.958:1.334],0.147
760,GPR88,0.924,0.786,1.087,0.924[0.786:1.087],0.34
761,S100B,0.931,0.807,1.074,0.931[0.807:1.074],0.326
762,LINC01140,1.134,0.977,1.317,1.134[0.977:1.317],0.099
763,MPEG1,0.99,0.866,1.132,0.99[0.866:1.132],0.881
764,CCDC13,1.046,0.869,1.26,1.046[0.869:1.26],0.633
765,LINC02292,0.968,0.818,1.145,0.968[0.818:1.145],0.703
766,POU3F3,1.148,1.011,1.303,1.148[1.011:1.303],0.033
767,FNBP1,1.16,0.973,1.383,1.16[0.973:1.383],0.098
768,SLC35F1,1.054,0.905,1.227,1.054[0.905:1.227],0.498
769,CNTN3,0.958,0.874,1.049,0.958[0.874:1.049],0.354
770,RBFOX3,1.052,0.94,1.176,1.052[0.94:1.176],0.378
771,FMO5,0.954,0.821,1.107,0.954[0.821:1.107],0.533
772,MYOCD,0.989,0.883,1.107,0.989[0.883:1.107],0.846
773,IGHJ3P,0.951,0.845,1.071,0.951[0.845:1.071],0.407
